epoch,error
1,192.38026594362995
2,173.88164196439817
3,173.15546143100536
4,173.34629870716566
5,172.5918764880513
6,171.1865769571948
7,169.4832947855307
8,167.68141119371052
9,165.8763894427849
10,164.11049239274539
11,162.40102366010754
12,160.75400391110108
13,159.1704663307283
14,157.6492932556296
15,156.188481147618
16,154.78570076661262
17,153.43854314976733
18,152.14462594787628
19,150.9016378358314
20,149.70735554221272
21,148.5596488402122
22,147.4564803090302
23,146.39590288470214
24,145.3760565361538
25,144.39516465492318
26,143.45153041526356
27,142.54353321419987
28,141.6696252359532
29,140.82832815638267
30,140.01822999052092
31,139.23798208085518
32,138.4862962217706
33,137.7619419147428
34,137.06374374865786
35,136.39057889967916
36,135.74137474525776
37,135.1151065870824
38,134.51079547799083
39,133.92750614808224
40,133.36434502548906
41,132.82045834746975
42,132.2950303576859
43,131.78728158571602
44,131.29646720503533
45,130.8218754658757
46,130.3628261995271
47,129.9186693908185
48,129.48878381564933
49,129.07257574060046
50,128.6694776817785
51,128.2789472201847
52,127.90046587102347
53,127.53353800448248
54,127.17768981562601
55,126.83246834116247
56,126.49744052093813
57,126.17219230211093
58,125.85632778405785
59,125.54946840215264
60,125.25125214863255
61,124.96133282886905
62,124.6793793514156
63,124.40507505029585
64,124.13811703805717
65,123.87821558818682
66,123.62509354554635
67,123.37848576355051
68,123.13813856686606
69,122.90380923846769
70,122.67526552994002
71,122.4522851939645
72,122.23465553797976
73,122.02217299805031
74,121.81464273202327
75,121.61187823109036
76,121.41370094892065
77,121.21993994756221
78,121.03043155934633
79,120.84501906406996
80,120.66355238075477
81,120.48588777332702
82,120.31188756957656
83,120.14141989279611
84,119.9743584055219
85,119.81058206482541
86,119.64997488863065
87,119.49242573255688
88,119.33782807680618
89,119.18607982264236
90,119.03708309802221
91,118.89074407196566
92,118.74697277726729
93,118.60568294117
94,118.46679182364034
95,118.33022006289954
96,118.1958915278832
97,118.06373317731152
98,117.93367492507411
99,117.80564951164178
100,117.67959238123233
